feature_id	interaction_id	assay	interaction_distance
EBNA1BP2	LH01001	Proliferation	85000
UBR4	LH00123	Differentiation	90000
UBR4	LH00123	Differentiation	85000
UBR4	LH00123	Differentiation	80000
WDR65	LH01001	Proliferation	125000
EBNA1BP2	LH01001	Proliferation	125000
WDR65	LH01001	Proliferation	120000
EBNA1BP2	LH01001	Proliferation	120000
WDR65	LH01001	Proliferation	105000
EBNA1BP2	LH01001	Proliferation	105000
SPRY4	LH12745	Differentiation	40000
SPRY4	LH12745	Differentiation	235000
SPRY4	LH12745	Differentiation	230000
SPRY4	LH12745	Differentiation	170000
SPRY4	LH12745	Differentiation	180000
SPRY4	LH12745	Differentiation	215000
SPRY4	LH12745	Differentiation	255000
SPRY4	LH12745	Differentiation	145000
SPRY4	LH12745	Differentiation	190000
SPRY4	LH12745	Differentiation	225000
SPRY4	LH12745	Differentiation	240000
SPRY4	LH12745	Differentiation	250000
SPRY4	LH12745	Differentiation	210000
SPRY4	LH12745	Differentiation	280000
SPRY4	LH12745	Differentiation	245000
SPRY4	LH12745	Differentiation	290000
SPRY4	LH12745	Differentiation	150000
SPRY4	LH12745	Differentiation	155000
SPRY4	LH12745	Differentiation	160000
SPRY4	LH12745	Differentiation	220000
SPRY4	LH12745	Differentiation	195000
SPRY4	LH12745	Differentiation	205000
SOX4	LH13285	Differentiation	150000
SOX4	LH13285	Differentiation	145000
SOX4	LH13285	Differentiation	325000
SOX4	LH13285	Differentiation	340000
SOX4	LH13285	Differentiation	335000
SOX4	LH13285	Differentiation	175000
SOX4	LH13285	Differentiation	355000
SOX4	LH13285	Differentiation	140000
SOX4	LH13285	Differentiation	165000
SOX4	LH13285	Differentiation	225000
SOX4	LH13285	Differentiation	345000
SOX4	LH13285	Differentiation	360000
SOX4	LH13285	Differentiation	155000
SOX4	LH13285	Differentiation	160000
SOX4	LH13285	Differentiation	180000
SOX4	LH13285	Differentiation	235000
SOX4	LH13285	Differentiation	330000
RBPMS2	LH05335	Differentiation	35000
RBPMS2	LH05335	Differentiation	60000
ASB16	LH06479	Differentiation	155000
ASB16	LH06479	Differentiation	145000
TGIF1	LH07247	Differentiation	145000
TGIF1	LH07247	Differentiation	140000
TGIF1	LH07247	Differentiation	155000
TGIF1	LH07248	Differentiation	155000
TGIF1	LH07249	Differentiation	155000
TGIF1	LH07247	Differentiation	150000
TGIF1	LH07248	Differentiation	150000
TGIF1	LH07249	Differentiation	150000
TGIF1	LH07248	Differentiation	145000
TGIF1	LH07249	Differentiation	145000
TGIF1	LH07247	Differentiation	160000
TGIF1	LH07249	Differentiation	160000
EIF2B5	LH11708	Proliferation	165000
EIF2B5	LH11708	Proliferation	150000
TCF7L2	LH02292	Differentiation	175000
TCF7L2	LH02292	Differentiation	135000
TCF7L2	LH02292	Differentiation	155000
TCF7L2	LH02292	Differentiation	170000
TCF7L2	LH02292	Differentiation	125000
TCF7L2	LH02292	Differentiation	180000
USP8	LH05008	Differentiation	125000
USP8	LH05008	Differentiation	130000
IGF2BP1	LH06996	Differentiation	25000
IGF2BP1	LH06996	Differentiation	40000
TGIF2	LH10050	Differentiation	10000
LH11708	EIF2B5	Proliferation	165000
LH11708	EIF2B5	Proliferation	150000
LH02292	TCF7L2	Differentiation	175000
LH02292	TCF7L2	Differentiation	135000
LH02292	TCF7L2	Differentiation	155000
LH02292	TCF7L2	Differentiation	170000
LH02292	TCF7L2	Differentiation	125000
LH02292	TCF7L2	Differentiation	180000
LH05008	USP8	Differentiation	125000
LH05008	USP8	Differentiation	130000
LH06996	IGF2BP1	Differentiation	25000
LH06996	IGF2BP1	Differentiation	40000
LH10050	TGIF2	Differentiation	10000
LH01001	EBNA1BP2	Proliferation	85000
LH00123	UBR4	Differentiation	90000
LH00123	UBR4	Differentiation	85000
LH00123	UBR4	Differentiation	80000
LH01001	WDR65	Proliferation	125000
LH01001	EBNA1BP2	Proliferation	125000
LH01001	WDR65	Proliferation	120000
LH01001	EBNA1BP2	Proliferation	120000
LH01001	WDR65	Proliferation	105000
LH01001	EBNA1BP2	Proliferation	105000
LH12745	SPRY4	Differentiation	40000
LH12745	SPRY4	Differentiation	235000
LH12745	SPRY4	Differentiation	230000
LH12745	SPRY4	Differentiation	170000
LH12745	SPRY4	Differentiation	180000
LH12745	SPRY4	Differentiation	215000
LH12745	SPRY4	Differentiation	255000
LH12745	SPRY4	Differentiation	145000
LH12745	SPRY4	Differentiation	190000
LH12745	SPRY4	Differentiation	225000
LH12745	SPRY4	Differentiation	240000
LH12745	SPRY4	Differentiation	250000
LH12745	SPRY4	Differentiation	210000
LH12745	SPRY4	Differentiation	280000
LH12745	SPRY4	Differentiation	245000
LH12745	SPRY4	Differentiation	290000
LH12745	SPRY4	Differentiation	150000
LH12745	SPRY4	Differentiation	155000
LH12745	SPRY4	Differentiation	160000
LH12745	SPRY4	Differentiation	220000
LH12745	SPRY4	Differentiation	195000
LH12745	SPRY4	Differentiation	205000
LH13285	SOX4	Differentiation	150000
LH13285	SOX4	Differentiation	145000
LH13285	SOX4	Differentiation	325000
LH13285	SOX4	Differentiation	340000
LH13285	SOX4	Differentiation	335000
LH13285	SOX4	Differentiation	175000
LH13285	SOX4	Differentiation	355000
LH13285	SOX4	Differentiation	140000
LH13285	SOX4	Differentiation	165000
LH13285	SOX4	Differentiation	225000
LH13285	SOX4	Differentiation	345000
LH13285	SOX4	Differentiation	360000
LH13285	SOX4	Differentiation	155000
LH13285	SOX4	Differentiation	160000
LH13285	SOX4	Differentiation	180000
LH13285	SOX4	Differentiation	235000
LH13285	SOX4	Differentiation	330000
LH05335	RBPMS2	Differentiation	35000
LH05335	RBPMS2	Differentiation	60000
LH06479	ASB16	Differentiation	155000
LH06479	ASB16	Differentiation	145000
LH07247	TGIF1	Differentiation	145000
LH07247	TGIF1	Differentiation	140000
LH07247	TGIF1	Differentiation	155000
LH07248	TGIF1	Differentiation	155000
LH07249	TGIF1	Differentiation	155000
LH07247	TGIF1	Differentiation	150000
LH07248	TGIF1	Differentiation	150000
LH07249	TGIF1	Differentiation	150000
LH07248	TGIF1	Differentiation	145000
LH07249	TGIF1	Differentiation	145000
LH07247	TGIF1	Differentiation	160000
LH07249	TGIF1	Differentiation	160000
